time,commune_id_2cap,commune_name_2cap,provinceName_2cap,nguycosatlo,nguycoluquet
2025-11-20 14:00:00,2051,An Hòa,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2048,An Lão,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2069,An Lương,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2091,An Nhơn Tây,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2049,An Vinh,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2065,Bình Dương,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2053,Bồng Sơn,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2099,Canh Vinh,Gia Lai,Rất cao,Rất cao
2025-11-20 14:00:00,2084,Cát Tiến,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2056,Hoài Nhơn,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2054,Hoài Nhơn Bắc,Gia Lai,Rất cao,Rất cao
2025-11-20 14:00:00,2055,Hoài Nhơn Tây,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2057,Hoài Nhơn Đông,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2082,Hội Sơn,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2174,Ia Dreh,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2086,Ngô Mây,Gia Lai,Rất cao,Rất cao
2025-11-20 14:00:00,2080,Phù Cát,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2064,Phù Mỹ,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2067,Phù Mỹ Đông,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2173,Phú Túc,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2043,Quy Nhơn,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2042,Quy Nhơn Bắc,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2045,Quy Nhơn Nam,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2044,Quy Nhơn Tây,Gia Lai,Rất cao,Rất cao
2025-11-20 14:00:00,2046,Quy Nhơn Đông,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2052,Tam Quan,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2093,Tuy Phước,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2094,Tuy Phước Bắc,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2096,Tuy Phước Tây,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2095,Tuy Phước Đông,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2175,Uar,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2097,Vân Canh,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2085,Xuân An,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2060,Ân Hảo,Gia Lai,Trung bình,Trung bình
2025-11-20 14:00:00,2081,Đề Gi,Gia Lai,Cao,Cao
2025-11-20 14:00:00,2228,Anh Dũng,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2183,Ba Ngòi,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2223,Bác Ái,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2222,Bác Ái Tây,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2224,Bác Ái Đông,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2181,Bắc Cam Ranh,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2204,Bắc Khánh Vĩnh,Khánh Hòa,Trung bình,Trung bình
2025-11-20 14:00:00,2177,Bắc Nha Trang,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2195,Bắc Ninh Hòa,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2187,Cam An,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2185,Cam Hiệp,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2184,Cam Linh,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2186,Cam Lâm,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2182,Cam Ranh,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2230,Công Hải,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2207,Diên Khánh,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2209,Diên Lâm,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2211,Diên Lạc,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2210,Diên Thọ,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2208,Diên Điền,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2200,Hòa Thắng,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2197,Hòa Trí,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2214,Khánh Sơn,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2202,Khánh Vĩnh,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2226,Lâm Sơn,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2227,Mỹ Sơn,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2188,Nam Cam Ranh,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2206,Nam Khánh Vĩnh,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2180,Nam Nha Trang,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2201,Nam Ninh Hòa,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2178,Nha Trang,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2194,Ninh Hòa,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2233,Ninh Hải,Khánh Hòa,Trung bình,Trung bình
2025-11-20 14:00:00,2225,Ninh Sơn,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2237,Phước Dinh,Khánh Hòa,Trung bình,Trung bình
2025-11-20 14:00:00,2213,Suối Dầu,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2212,Suối Hiệp,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2232,Thuận Bắc,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2203,Trung Khánh Vĩnh,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2190,Tu Bông,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2199,Tân Định,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2215,Tây Khánh Sơn,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2205,Tây Khánh Vĩnh,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2179,Tây Nha Trang,Khánh Hòa,Cao,Cao
2025-11-20 14:00:00,2196,Tây Ninh Hòa,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2193,Vạn Hưng,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2189,Vạn Ninh,Khánh Hòa,Rất cao,Rất cao
2025-11-20 14:00:00,2192,Vạn Thắng,Khánh Hòa,Rất cao,Rất cao
